pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
K2-200,b,K2-200 b,Transit,0,1,2.849883,0.000188,-0.00018,0,1,,,,,0,,,,,0,87.968,1.44,-3.217,0,1,,,,,0,,0.122,0.013,-0.009,0,1,,,,,0,0,0,1,13h29m00.38s,-04d36m36.8s,202.251602,0,-4.610228,0,1,185.09,1.86,-1.86,0,1,12.459,0.03,0,V (Johnson),12.231,,0,5233,50,-50,0,2,0.86,0.02,-0.03,0,1,0.79,0.02,-0.02,0,2,0,15/02/2018,K2
K2-201,b,K2-201 b,Transit,0,2,1.05979,0.000043,-0.000044,0,1,,,,,0,,,,,0,84.414,4.053,-6.735,0,1,,,,,0,,0.125,0.012,-0.007,0,1,,,,,0,0,0,1,19h34m14.58s,-23d07m51.7s,293.56073,0,-23.131035,0,1,199.05,1.67,-1.67,0,1,12.809,0.24,0,V (Johnson),11.943,,0,5507,50,-50,0,2,0.96,0.02,-0.02,0,1,0.88,0.03,-0.02,0,2,0,15/02/2018,K2
K2-201,c,K2-201 c,Transit,0,2,22.779878,0.001957,-0.001947,0,1,,,,,0,,,,,0,89.272,0.519,-0.923,0,1,,,,,0,,0.293,0.036,-0.016,0,1,,,,,0,0,0,1,19h34m14.58s,-23d07m51.7s,293.56073,0,-23.131035,0,1,199.05,1.67,-1.67,0,1,12.809,0.24,0,V (Johnson),11.943,,0,5507,50,-50,0,2,0.96,0.02,-0.02,0,1,0.88,0.03,-0.02,0,2,0,15/02/2018,K2
K2-202,b,K2-202 b,Transit,0,1,3.405164,0.000126,-0.000121,0,1,,,,,0,,,,,0,87.672,1.628,-2.945,0,1,,,,,0,,0.205,0.016,-0.012,0,1,,,,,0,0,0,1,18h53m03.43s,-22d24m25.3s,283.264282,0,-22.407034,0,1,302.99,2.65,-2.65,0,1,13.297,0.02,0,V (Johnson),13.044,,0,5491,58,-58,0,2,0.97,0.03,-0.03,0,1,0.91,0.05,-0.03,0,2,0,15/02/2018,K2
K2-203,b,K2-203 b,Transit,0,1,9.695101,0.001285,-0.001334,0,1,,,,,0,,,,,0,88.43,1.152,-3.258,0,1,,,,,0,,0.122,0.025,-0.011,0,1,,,,,0,0,0,1,00h51m05.70s,-01d11m45.2s,12.773741,0,-1.195891,0,1,166.93,1.56,-1.56,0,1,12.353,0.03,0,V (Johnson),12.122,,0,5000,50,-50,0,2,0.79,0.03,-0.03,0,1,0.76,0.03,-0.02,0,2,0,15/02/2018,K2
K2-204,b,K2-204 b,Transit,0,1,7.055784,0.00065,-0.000641,0,1,,,,,0,,,,,0,87.649,1.737,-3.326,0,1,,,,,0,,0.272,0.039,-0.033,0,1,,,,,0,0,0,1,01h09m31.81s,-00d31m03.4s,17.382523,0,-0.51762,0,1,586.87,17.76,-17.76,0,1,13.01,0.02,0,V (Johnson),12.889,,0,5755,50,-50,0,2,1.01,0.03,-0.03,0,1,1.18,0.16,-0.14,0,2,0,15/02/2018,K2
K2-205,b,K2-205 b,Transit,0,1,26.672263,0.00416,-0.003676,0,1,,,,,0,,,,,0,89.097,0.657,-1.193,0,1,,,,,0,,0.178,0.024,-0.021,0,1,,,,,0,0,0,1,01h00m52.20s,+00d25m33.6s,15.217487,0,0.425996,0,1,409.95,9.1,-9.1,0,1,12.391,0.04,0,V (Johnson),12.251,,0,5890,50,-50,0,2,0.95,0.04,-0.04,0,1,1.08,0.13,-0.11,0,2,0,15/02/2018,K2
K2-206,b,K2-206 b,Transit,0,1,18.294549,0.001728,-0.001599,0,1,,,,,0,,,,,0,89.112,0.634,-1.221,0,1,,,,,0,,0.249,0.02,-0.014,0,1,,,,,0,0,0,1,00h45m01.52s,+00d35m35.7s,11.256313,0,0.593257,0,1,246.14,3.1,-3.1,0,1,13.1,0.05,0,V (Johnson),12.827,,0,5043,50,-50,0,2,0.79,0.03,-0.03,0,1,0.76,0.03,-0.03,0,2,0,15/02/2018,K2
K2-207,b,K2-207 b,Transit,0,1,12.48749,0.001208,-0.001162,0,1,,,,,0,,,,,0,88.62,0.988,-1.589,0,1,,,,,0,,0.232,0.033,-0.019,0,1,,,,,0,0,0,1,00h46m47.93s,+00d38m26.9s,11.699704,0,0.640796,0,1,366.84,5.62,-5.62,0,1,13.166,0.05,0,V (Johnson),12.969,,0,5522,50,-50,0,2,0.94,0.03,-0.03,0,1,0.93,0.09,-0.05,0,2,0,15/02/2018,K2
K2-208,b,K2-208 b,Transit,0,1,4.190948,0.00023,-0.000248,0,1,,,,,0,,,,,0,88.043,1.376,-2.502,0,1,,,,,0,,0.15,0.015,-0.011,0,1,,,,,0,0,0,1,01h23m06.98s,+00d53m21.0s,20.779097,0,0.889177,0,1,258.76,3.2,-3.2,0,1,12.503,0.02,0,V (Johnson),12.314,,0,5582,50,-50,0,2,0.93,0.03,-0.03,0,1,0.86,0.03,-0.03,0,2,0,15/02/2018,K2
K2-209,b,K2-209 b,Transit,0,1,2.080615,0.000134,-0.00013,0,1,,,,,0,,,,,0,86.231,2.669,-6.348,0,1,,,,,0,,0.077,0.009,-0.006,0,1,,,,,0,0,0,1,00h58m45.76s,+01d23m01.7s,14.690681,0,1.383812,0,1,76.67,0.3,-0.3,0,1,11.205,0.103,0,V (Johnson),10.745,,0,4720,50,-50,0,2,0.74,0.03,-0.02,0,1,0.71,0.02,-0.02,0,2,0,15/02/2018,K2
EPIC 206024342,b,EPIC 206024342 b,Transit,0,1,4.50756,0.00062,-0.0006,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,0.152,0.053,-0.028,0,1,,,,,0,0,0,1,22h05m06.53s,-14d07m18.0s,331.277222,0,-14.121665,0,1,373.81,4.99,-4.99,0,1,13.116,0.03,0,V (Johnson),12.968,,0,,,,,1,0.93,0.08,-0.1,0,1,,,,,1,0,13/06/2019,K2
EPIC 206032309,b,EPIC 206032309 b,Transit,0,1,2.87814,0.00023,-0.00026,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,0.09,0.021,-0.012,0,1,,,,,0,0,0,1,22h44m57.77s,-13d54m03.3s,341.240692,0,-13.900921,0,1,162.09,1.8,-1.8,0,1,15.782,,0,Kepler-band,16.069,,0,,,,,1,0.22,0.04,-0.06,0,1,,,,,0,0,13/06/2019,K2
EPIC 206042996,b,EPIC 206042996 b,Transit,0,1,5.29711,0.00074,-0.0007,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,0.145,0.015,-0.017,0,1,,,,,0,0,0,1,22h30m03.26s,-13d36m36.4s,337.51358,0,-13.610113,0,1,457.27,13.79,-13.79,0,1,16.743,0.089,0,V (Johnson),15.975,,0,,,,,1,0.56,0.05,-0.05,0,1,,,,,1,0,13/06/2019,K2
