1,N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
,21,105,84,189,Po,-1422.005,22.059,7731.131,0.117,188.9984734,0.000023681
0,46,118,72,190,Hf,-25030#,401#,7907#,2#,#VALUE!,#VALUE!
,44,117,73,190,Ta,-28513#,196#,7921#,1#,#VALUE!,#VALUE!
,42,116,74,190,W,-34382.313,39.726,7947.573,0.209,189.9630891,0.000042647
,40,115,75,190,Re,-35635.83,70.852,7950.053,0.373,189.9617434,0.000076063
,38,114,76,190,Os,-38707.771,0.65,7962.104,0.003,189.9584455,0.000000697
,36,113,77,190,Ir,-36753.544,1.37,7947.701,0.007,189.9605434,0.00000147
,34,112,78,190,Pt,-37306.45,0.657,7946.493,0.003,189.9599499,0.000000704
,32,111,79,190,Au,-32833.533,3.447,7918.834,0.018,189.9647518,0.0000037
,30,110,80,190,Hg,-31370.697,15.907,7907.017,0.084,189.9663222,0.000017076
,28,109,81,190,Tl,-24372.027,7.948,7866.064,0.042,189.9738356,0.000008532
,26,108,82,190,Pb,-20416.645,12.514,7841.129,0.066,189.9780818,0.000013434
,24,107,83,190,Bi,-10599.579,22.562,7785.342,0.119,189.9886209,0.000024221
,22,106,84,190,Po,-4563.837,13.465,7749.458,0.071,189.9951005,0.000014455
0,45,118,73,191,Ta,-26492#,298#,7911#,2#,#VALUE!,#VALUE!
,43,117,74,191,W,-31176.173,41.917,7931.435,0.219,190.966531,0.000045
,41,116,75,191,Re,-34350.296,10.265,7943.957,0.054,190.9631234,0.000011019
,39,115,76,191,Os,-36395.185,0.659,7950.568,0.003,190.9609282,0.000000707
,37,114,77,191,Ir,-36708.756,1.311,7948.113,0.007,190.9605915,0.000001406
,35,113,78,191,Pt,-35698.237,4.127,7938.727,0.022,190.9616764,0.00000443
,33,112,79,191,Au,-33797.904,4.926,7924.681,0.026,190.9637165,0.000005288
,31,111,80,191,Hg,-30591.896,22.28,7903.8,0.117,190.9671582,0.000023918
,29,110,81,191,Tl,-26282.945,7.349,7877.144,0.038,190.9717841,0.000007889
,27,109,82,191,Pb,-20231.118,37.26,7841.363,0.195,190.978281,0.00004
,25,108,83,191,Bi,-13239.347,7.487,7800.661,0.039,190.985787,0.000008037
,23,107,84,191,Po,-5068.735,7.103,7753.786,0.037,190.9945585,0.000007624
,21,106,85,191,At,3863.917,16.103,7702.923,0.084,191.0041481,0.000017287
0,46,119,73,192,Ta,-23064#,401#,7894#,2#,#VALUE!,#VALUE!
,44,118,74,192,W,-29649#,196#,7924#,1#,#VALUE!,#VALUE!
,42,117,75,192,Re,-31588.825,70.794,7930.238,0.369,191.966088,0.000076
,40,116,76,192,Os,-35882.191,2.315,7948.525,0.012,191.9614789,0.000002485
,38,115,77,192,Ir,-34835.561,1.314,7938.999,0.007,191.9626025,0.00000141
,36,114,78,192,Pt,-36288.457,2.57,7942.491,0.013,191.9610427,0.000002758
,34,113,79,192,Au,-32772.116,15.827,7920.102,0.082,191.9648177,0.000016991
,32,112,80,192,Hg,-32011.553,15.537,7912.066,0.081,191.9656342,0.000016679
,30,111,81,192,Tl,-25872.246,31.671,7876.016,0.165,191.972225,0.000034
,28,110,82,192,Pb,-22556.02,13.295,7854.669,0.069,191.9757851,0.000014273
,26,109,83,192,Bi,-13534.535,30.112,7803.608,0.157,191.9854701,0.000032326
,24,108,84,192,Po,-8070.661,11.11,7771.075,0.058,191.9913358,0.000011926
,22,107,85,192,At,2925.854,27.876,7709.727,0.145,192.003141,0.000029926
0,47,120,73,193,Ta,-20870#,401#,7884#,2#,#VALUE!,#VALUE!
,45,119,74,193,W,-26287#,196#,7908#,1#,#VALUE!,#VALUE!
,43,118,75,193,Re,-30231.638,39.123,7923.937,0.203,192.967545,0.000042
,41,117,76,193,Os,-33394.289,2.321,7936.27,0.012,192.9641498,0.000002491
,39,116,77,193,Ir,-34536.235,1.328,7938.133,0.007,192.9629238,0.000001425
,37,115,78,193,Pt,-34479.608,1.359,7933.786,0.007,192.9629846,0.000001458
,35,114,79,193,Au,-33404.821,8.674,7924.164,0.045,192.9641384,0.000009311
,33,113,80,193,Hg,-31062.179,15.505,7907.972,0.08,192.9666534,0.000016645
,31,112,81,193,Tl,-27477.212,6.707,7885.344,0.035,192.970502,0.0000072
,29,111,82,193,Pb,-22194.49,49.577,7853.919,0.257,192.9761732,0.000053222
,27,110,83,193,Bi,-15884.559,7.576,7817.171,0.039,192.9829472,0.000008132
,25,109,84,193,Po,-8325.318,14.531,7773.95,0.075,192.9910624,0.000015599
,23,108,85,193,At,-67.32,21.632,7727.109,0.112,192.9999277,0.000023222
,21,107,86,193,Rn,9042.911,25.112,7675.852,0.13,193.009708,0.000026958
0,48,121,73,194,Ta,-17300#,503#,7866#,3#,#VALUE!,#VALUE!
,46,120,74,194,W,-24526#,298#,7899#,2#,#VALUE!,#VALUE!
,44,119,75,194,Re,-27237#,196#,7909#,1#,#VALUE!,#VALUE!
,42,118,76,194,Os,-32435.108,2.403,7932.022,0.012,193.9651795,0.000002579
,40,117,77,194,Ir,-32531.708,1.332,7928.487,0.007,193.9650758,0.00000143
,38,116,78,194,Pt,-34760.07,0.496,7935.941,0.003,193.9626835,0.000000532
,36,115,79,194,Au,-32211.936,2.118,7918.774,0.011,193.9654191,0.000002273
,34,114,80,194,Hg,-32183.945,2.888,7914.597,0.015,193.9654491,0.0000031
,32,113,81,194,Tl,-26937.491,13.972,7883.52,0.072,193.9710814,0.000015
,30,112,82,194,Pb,-24207.94,17.435,7865.418,0.09,193.9740117,0.000018717
,28,111,83,194,Bi,-16028.811,6.178,7819.225,0.032,193.9827924,0.000006632
,26,110,84,194,Po,-11004.655,12.911,7789.294,0.067,193.988186,0.00001386
,24,109,85,194,At,-720.163,24.931,7732.249,0.129,193.9992269,0.000026764
,22,108,86,194,Rn,5723.495,16.899,7695.001,0.087,194.0061444,0.000018141
0,47,121,74,195,W,-21010#,298#,7882#,2#,#VALUE!,#VALUE!
,45,120,75,195,Re,-25579#,298#,7902#,2#,#VALUE!,#VALUE!
,43,119,76,195,Os,-29511.593,55.89,7917.744,0.287,194.968318,0.00006
,41,118,77,195,Ir,-31692.251,1.333,7924.915,0.007,194.965977,0.000001431
,39,117,78,195,Pt,-32793.849,0.503,7926.552,0.003,194.9647944,0.000000539
,37,116,79,195,Au,-32567.031,1.119,7921.377,0.006,194.9650379,0.000001201
,35,115,80,195,Hg,-31013.393,23.142,7909.397,0.119,194.9667058,0.000024843
,33,114,81,195,Tl,-28155.248,11.093,7890.728,0.057,194.9697741,0.000011909
,31,113,82,195,Pb,-23707.693,17.96,7863.908,0.092,194.9745487,0.00001928
,29,112,83,195,Bi,-18025.561,5.287,7830.757,0.027,194.9806488,0.000005675
,27,111,84,195,Po,-11056.259,37.364,7791.005,0.192,194.9881306,0.000040112
,25,110,85,195,At,-3470.295,9.573,7748.091,0.049,194.9962745,0.000010276
,23,109,86,195,Rn,5050.281,50.502,7700.383,0.259,195.0054217,0.000054216
0,48,122,74,196,W,-18880#,401#,7872#,2#,#VALUE!,#VALUE!
,46,121,75,196,Re,-22542#,298#,7887#,2#,#VALUE!,#VALUE!
,44,120,76,196,Os,-28277.105,40.055,7912.229,0.204,195.9696433,0.000043
,42,119,77,196,Ir,-29435.493,38.414,7914.148,0.196,195.9683997,0.000041239
,40,118,78,196,Pt,-32644.51,0.51,7926.529,0.003,195.9649547,0.000000547
,38,117,79,196,Au,-31138.706,2.962,7914.855,0.015,195.9665712,0.000003179
,36,116,80,196,Hg,-31825.941,2.946,7914.369,0.015,195.9658334,0.000003163
,34,115,81,196,Tl,-27496.592,12.109,7888.289,0.062,195.9704812,0.000013
,32,114,82,196,Pb,-25348.312,7.71,7873.337,0.039,195.9727875,0.000008277
,30,113,83,196,Bi,-18009.031,24.428,7831.9,0.125,195.9806665,0.000026224
,28,112,84,196,Po,-13473.042,13.512,7804.766,0.069,195.9855361,0.000014506
,26,111,85,196,At,-3914.677,30.284,7752.007,0.155,195.9957974,0.000032511
,24,110,86,196,Rn,1970.991,14.417,7717.987,0.074,196.0021159,0.000015476
0,49,123,74,197,W,-15140#,401#,7854#,2#,#VALUE!,#VALUE!
,47,122,75,197,Re,-20502#,298#,7878#,2#,#VALUE!,#VALUE!
,45,121,76,197,Os,-25309#,196#,7898#,1#,#VALUE!,#VALUE!
,43,120,77,197,Ir,-28264.105,20.11,7908.999,0.102,196.9696572,0.000021588
,41,119,78,197,Pt,-30419.75,0.536,7915.971,0.003,196.9673431,0.000000575
,39,118,79,197,Au,-31139.738,0.542,7915.654,0.003,196.9665701,0.000000581
,37,117,80,197,Hg,-30540.229,3.207,7908.64,0.016,196.9672137,0.000003442
,35,116,81,197,Tl,-28341.649,16.325,7893.508,0.083,196.969574,0.000017526
,33,115,82,197,Pb,-24745.401,4.804,7871.282,0.024,196.9734347,0.000005157
,31,114,83,197,Bi,-19687.191,8.333,7841.634,0.042,196.9788649,0.000008946
,29,113,84,197,Po,-13357.99,49.679,7805.535,0.252,196.9856596,0.000053332
,27,112,85,197,At,-6355.25,7.983,7766.017,0.041,196.9931774,0.00000857
,25,111,86,197,Rn,1510.353,16.193,7722.118,0.082,197.0016214,0.000017383
,23,110,87,197,Fr,10253.971,54.404,7673.763,0.276,197.0110081,0.000058404
0,48,123,75,198,Re,-17139#,401#,7862#,2#,#VALUE!,#VALUE!
,46,122,76,198,Os,-23837#,196#,7891#,1#,#VALUE!,#VALUE!
,44,121,77,198,Ir,-25821#,196#,7897#,1#,#VALUE!,#VALUE!
,42,120,78,198,Pt,-29903.999,2.1,7914.15,0.011,197.9678967,0.000002254
,40,119,79,198,Au,-29580.781,0.54,7908.567,0.003,197.9682437,0.000000579
,38,118,80,198,Hg,-30954.31,0.458,7911.552,0.002,197.9667692,0.000000491
,36,117,81,198,Tl,-27528.746,7.545,7890.3,0.038,197.9704467,0.0000081
,34,116,82,198,Pb,-26067.489,8.75,7878.969,0.044,197.9720154,0.000009393
,32,115,83,198,Bi,-19369.486,27.945,7841.189,0.141,197.979206,0.00003
,30,114,84,198,Po,-15473.352,17.424,7817.561,0.088,197.9833887,0.000018705
,28,113,85,198,At,-6714.513,5.868,7769.373,0.03,197.9927917,0.0000063
,26,112,86,198,Rn,-1230.358,13.42,7737.724,0.068,197.9986792,0.000014406
,24,111,87,198,Fr,9574.024,32.222,7679.205,0.163,198.0102781,0.000034591
0,49,124,75,199,Re,-14860#,401#,7851#,2#,#VALUE!,#VALUE!
,47,123,76,199,Os,-20484#,196#,7875#,1#,#VALUE!,#VALUE!
,45,122,77,199,Ir,-24398.515,41.054,7891.206,0.206,198.9738071,0.000044073
,43,121,78,199,Pt,-27388.682,2.159,7902.3,0.011,198.970597,0.000002317
,41,120,79,199,Au,-29093.741,0.542,7906.937,0.003,198.9687666,0.000000581
,39,119,80,199,Hg,-29546.068,0.526,7905.279,0.003,198.968281,0.000000564
,37,118,81,199,Tl,-28059.394,27.945,7893.877,0.14,198.969877,0.00003
,35,117,82,199,Pb,-25231.804,9.996,7875.736,0.05,198.9729125,0.00001073
,33,116,83,199,Bi,-20797.566,10.568,7849.522,0.053,198.9776729,0.000011345
,31,115,84,199,Po,-15208.483,18.06,7817.505,0.091,198.983673,0.000019387
,29,114,85,199,At,-8823.372,5.384,7781.488,0.027,198.9905277,0.00000578
,27,113,86,199,Rn,-1499.451,37.588,7740.753,0.189,198.9983903,0.000040352
,25,112,87,199,Fr,6771.393,13.726,7695.259,0.069,199.0072694,0.000014734
0,48,124,76,200,Os,-18779#,298#,7868#,1#,#VALUE!,#VALUE!
,46,123,77,200,Ir,-21611#,196#,7878#,1#,#VALUE!,#VALUE!
,44,122,78,200,Pt,-26599.16,20.11,7899.198,0.101,199.9714446,0.000021588
,42,121,79,200,Au,-27240.092,26.717,7898.491,0.134,199.9707566,0.000028681
,40,120,80,200,Hg,-29503.27,0.529,7905.895,0.003,199.9683269,0.000000568
,38,119,81,200,Tl,-27047.23,5.759,7889.703,0.029,199.9709636,0.000006182
,36,118,82,200,Pb,-26251.054,10.927,7881.81,0.055,199.9718183,0.00001173
,34,117,83,200,Bi,-20370.755,22.321,7848.497,0.112,199.9781311,0.000023962
,32,116,84,200,Po,-16941.761,7.579,7827.44,0.038,199.9818123,0.000008135
,30,115,85,200,At,-8987.892,24.465,7783.759,0.122,199.9903511,0.000026264
,28,114,86,200,Rn,-4004.765,13.681,7754.932,0.068,199.9957007,0.000014686
,26,113,87,200,Fr,6132.498,30.611,7700.334,0.153,200.0065835,0.000032861
0,49,125,76,201,Os,-15239#,298#,7851#,1#,#VALUE!,#VALUE!
,47,124,77,201,Ir,-19897#,196#,7871#,1#,#VALUE!,#VALUE!
,45,123,78,201,Pt,-23740.714,50.103,7885.833,0.249,200.9745133,0.000053788
,43,122,79,201,Au,-26400.714,3.218,7895.175,0.016,200.9716577,0.000003454
,41,121,80,201,Hg,-27662.542,0.711,7897.56,0.004,200.970303,0.000000763
,39,120,81,201,Tl,-27180.838,14.185,7891.271,0.071,200.9708202,0.000015228
,37,119,82,201,Pb,-25271.036,13.747,7877.877,0.068,200.9728704,0.000014758
,35,118,83,201,Bi,-21416.433,15.183,7854.808,0.076,200.9770085,0.000016299
,33,117,84,201,Po,-16521.185,4.942,7826.561,0.025,200.9822638,0.000005305
,31,116,85,201,At,-10789.438,8.184,7794.153,0.041,200.9884171,0.000008786
,29,115,86,201,Rn,-4072.324,49.732,7756.842,0.247,200.9956282,0.000053389
,27,114,87,201,Fr,3588.577,9.08,7714.836,0.045,201.0038525,0.000009747
,25,113,88,201,Ra,11936.801,20.301,7669.41,0.101,201.0128147,0.000021794
0,50,126,76,202,Os,-13087#,401#,7842#,2#,#VALUE!,#VALUE!
,48,125,77,202,Ir,-16776#,298#,7856#,1#,#VALUE!,#VALUE!
,46,124,78,202,Pt,-22692.125,25.15,7881.56,0.125,201.975639,0.000027
,44,123,79,202,Au,-24352.979,23.287,7885.909,0.115,201.973856,0.000025
,42,122,80,202,Hg,-27345.324,0.705,7896.85,0.003,201.9706436,0.000000756
,40,121,81,202,Tl,-25980.216,1.606,7886.219,0.008,201.9721091,0.000001723
,38,120,82,202,Pb,-25940.614,3.796,7882.15,0.019,201.9721516,0.000004075
,36,119,83,202,Bi,-20741.484,15.396,7852.539,0.076,201.9777331,0.000016528
,34,118,84,202,Po,-17941.616,8.67,7834.805,0.043,201.9807389,0.000009307
,32,117,85,202,At,-10590.732,27.977,7794.541,0.138,201.9886304,0.000030034
,30,116,86,202,Rn,-6274.635,17.52,7769.301,0.087,201.9932639,0.000018808
,28,115,87,202,Fr,3096.237,7.04,7719.038,0.035,202.0033239,0.000007557
,26,114,88,202,Ra,9074.861,15.018,7685.568,0.074,202.0097423,0.000016122
0,51,127,76,203,Os,-7640#,401#,7816#,2#,#VALUE!,#VALUE!
,49,126,77,203,Ir,-14690#,401#,7847#,2#,#VALUE!,#VALUE!
,47,125,78,203,Pt,-19627#,196#,7867#,1#,#VALUE!,#VALUE!
,45,124,79,203,Au,-23143.436,3.083,7880.864,0.015,202.9751545,0.000003309
,43,123,80,203,Hg,-25269.265,1.627,7887.482,0.008,202.9728723,0.000001746
,41,122,81,203,Tl,-25761.377,1.166,7886.053,0.006,202.972344,0.000001252
,39,121,82,203,Pb,-24786.557,6.554,7877.397,0.032,202.9733905,0.000007036
,37,120,83,203,Bi,-21524.827,12.778,7857.475,0.063,202.9768921,0.000013717
,35,119,84,203,Po,-17310.889,8.655,7832.863,0.043,202.981416,0.000009291
,33,118,85,203,At,-12162.557,10.576,7803.648,0.052,202.986943,0.000011353
,31,117,86,203,Rn,-6153.699,18.179,7770.193,0.09,202.9933937,0.000019516
,29,116,87,203,Fr,876.417,6.232,7731.708,0.031,203.0009409,0.000006689
,27,115,88,203,Ra,8661.726,38.124,7689.503,0.188,203.0092987,0.000040928
0,50,127,77,204,Ir,-9688#,401#,7824#,2#,#VALUE!,#VALUE!
,48,126,78,204,Pt,-17922#,196#,7860#,1#,#VALUE!,#VALUE!
,46,125,79,204,Au,-20650#,200#,7870#,1#,#VALUE!,#VALUE!
,44,124,80,204,Hg,-24690.145,0.498,7885.545,0.002,203.973494,0.000000534
,42,123,81,204,Tl,-24346.145,1.152,7880.023,0.006,203.9738633,0.000001236
,40,122,82,204,Pb,-25109.892,1.146,7879.932,0.006,203.9730434,0.00000123
,38,121,83,204,Bi,-20645.896,9.18,7854.215,0.045,203.9778357,0.000009854
,36,120,84,204,Po,-18341.244,11.013,7839.083,0.054,203.9803099,0.000011822
,34,119,85,204,At,-11875.433,22.288,7803.552,0.109,203.9872512,0.000023926
,32,118,86,204,Rn,-7970.193,7.444,7780.574,0.036,203.9914436,0.000007991
,30,117,87,204,Fr,607.31,24.581,7734.692,0.12,204.000652,0.000026389
,28,116,88,204,Ra,6056.787,15.273,7704.144,0.075,204.0065022,0.000016396
0,51,128,77,205,Ir,-5960#,503#,7807#,2#,#VALUE!,#VALUE!
,49,127,78,205,Pt,-12966#,298#,7837#,1#,#VALUE!,#VALUE!
,47,126,79,205,Au,-18770#,196#,7861#,1#,#VALUE!,#VALUE!
,45,125,80,205,Hg,-22287.74,3.654,7874.732,0.018,204.9760731,0.000003923
,43,124,81,205,Tl,-23820.874,1.237,7878.394,0.006,204.9744272,0.000001328
,41,123,82,205,Pb,-23770.239,1.144,7874.331,0.006,204.9744816,0.000001228
,39,122,83,205,Bi,-21064.504,5.111,7857.316,0.025,204.9773863,0.000005487
,37,121,84,205,Po,-17521.398,10.059,7836.216,0.049,204.98119,0.000010798
,35,120,85,205,At,-12971.946,15.085,7810.207,0.074,204.986074,0.000016194
,33,119,86,205,Rn,-7709.786,5.08,7780.722,0.025,204.9917232,0.000005453
,31,118,87,205,Fr,-1309.813,7.824,7745.686,0.038,204.9985939,0.000008399
,29,117,88,205,Ra,5838.991,70.521,7706.998,0.344,205.0062684,0.000075707
,27,116,89,205,Ac,14106.693,50.818,7662.851,0.248,205.0151442,0.000054555
0,50,128,78,206,Pt,-9632#,298#,7822#,1#,#VALUE!,#VALUE!
,48,127,79,206,Au,-14215#,298#,7840#,1#,#VALUE!,#VALUE!
,46,126,80,206,Hg,-20945.801,20.44,7869.172,0.099,205.9775138,0.000021943
,44,125,81,206,Tl,-22253.367,1.284,7871.721,0.006,205.97611,0.000001378
,42,124,82,206,Pb,-23785.584,1.144,7875.362,0.006,205.9744651,0.000001227
,40,123,83,206,Bi,-20028.278,7.632,7853.324,0.037,205.9784988,0.000008193
,38,122,84,206,Po,-18188.674,4.012,7840.597,0.019,205.9804737,0.000004306
,36,121,85,206,At,-12429.718,15.056,7808.843,0.073,205.9866561,0.000016162
,34,120,86,206,Rn,-9132.965,8.591,7789.041,0.042,205.9901954,0.000009223
,32,119,87,206,Fr,-1242.416,28.195,7746.94,0.137,205.9986662,0.000030268
,30,118,88,206,Ra,3565.539,18.008,7719.802,0.087,206.0038278,0.000019332
,28,117,89,206,Ac,13479.452,50.493,7667.879,0.245,206.0144708,0.000054206
0,51,129,78,207,Pt,-4540#,401#,7798#,2#,#VALUE!,#VALUE!
,49,128,79,207,Au,-10810#,300#,7825#,1#,#VALUE!,#VALUE!
,47,127,80,207,Hg,-16487.444,29.808,7848.61,0.144,206.9823,0.000032
,45,126,81,207,Tl,-21034.451,5.439,7866.797,0.026,206.9774186,0.000005839
,43,125,82,207,Pb,-22452.047,1.147,7869.866,0.006,206.9758967,0.00000123
,41,124,83,207,Bi,-20054.627,2.397,7854.505,0.012,206.9784705,0.000002573
,39,123,84,207,Po,-17145.775,6.659,7836.673,0.032,206.9815933,0.000007148
,37,122,85,207,At,-13227.416,12.406,7813.964,0.06,206.9857998,0.000013318
,35,121,86,207,Rn,-8634.762,8.497,7787.998,0.041,206.9907302,0.000009121
,33,120,87,207,Fr,-2844.341,17.505,7756.246,0.085,206.9969465,0.000018792
,31,119,88,207,Ra,3544.485,53.202,7721.602,0.257,207.0038052,0.000057115
,29,118,89,207,Ac,11146.233,50.387,7681.099,0.243,207.011966,0.000054092
0,52,130,78,208,Pt,-990#,400#,7783#,2#,#VALUE!,#VALUE!
,50,129,79,208,Au,-6101#,298#,7804#,1#,#VALUE!,#VALUE!
,48,128,80,208,Hg,-13265.406,30.739,7834.191,0.148,207.985759,0.000033
,46,127,81,208,Tl,-16750.132,1.854,7847.183,0.009,207.982018,0.00000199
,44,126,82,208,Pb,-21748.598,1.148,7867.453,0.006,207.9766519,0.000001231
,42,125,83,208,Bi,-18870.223,2.304,7849.853,0.011,207.979742,0.000002473
,40,124,84,208,Po,-17469.596,1.737,7839.358,0.008,207.9812456,0.000001864
,38,123,85,208,At,-12469.871,8.921,7811.56,0.043,207.986613,0.000009577
,36,122,86,208,Rn,-9655.591,11.138,7794.268,0.054,207.9896343,0.000011957
,34,121,87,208,Fr,-2665.919,11.834,7756.903,0.057,207.997138,0.000012704
,32,120,88,208,Ra,1727.856,9.023,7732.017,0.043,208.0018549,0.000009686
,30,119,89,208,Ac,10753.235,55.716,7684.865,0.268,208.0115441,0.000059813
,28,118,90,208,Th,16683.73,34.19,7652.592,0.164,208.0179107,0.000036704
0,51,130,79,209,Au,-2540#,400#,7788#,2#,#VALUE!,#VALUE!
,49,129,80,209,Hg,-8644#,149#,7813#,1#,#VALUE!,#VALUE!
,47,128,81,209,Tl,-13644.757,6.11,7833.397,0.029,208.9853518,0.000006559
,45,127,82,209,Pb,-17614.646,1.747,7848.648,0.008,208.9810899,0.000001875
,43,126,83,209,Bi,-18258.662,1.364,7847.987,0.007,208.9803985,0.000001464
,41,125,84,209,Po,-16366.092,1.778,7835.188,0.009,208.9824303,0.000001908
,39,124,85,209,At,-12882.613,5.102,7814.777,0.024,208.9861699,0.000005477
,37,123,86,209,Rn,-8941.049,9.96,7792.175,0.048,208.9904014,0.000010692
,35,122,87,209,Fr,-3769.572,14.648,7763.688,0.07,208.9959532,0.000015725
,33,121,88,209,Ra,1858.219,5.747,7733.017,0.027,209.0019949,0.000006169
,31,120,89,209,Ac,8843.809,50.608,7695.85,0.242,209.0094942,0.00005433
,29,119,90,209,Th,16367#,140#,7656#,1#,#VALUE!,#VALUE!
0,52,131,79,210,Au,2329#,401#,7766#,2#,#VALUE!,#VALUE!
,50,130,80,210,Hg,-5365#,196#,7799#,1#,#VALUE!,#VALUE!
,48,129,81,210,Tl,-9246.969,11.604,7813.588,0.055,209.990073,0.000012456
,46,128,82,210,Pb,-14728.502,1.447,7835.965,0.007,209.9841883,0.000001553
,44,127,83,210,Bi,-14791.979,1.363,7832.542,0.006,209.9841202,0.000001462
,42,126,84,210,Po,-15953.137,1.146,7834.346,0.005,209.9828736,0.00000123
,40,125,85,210,At,-11972.177,7.695,7811.663,0.037,209.9871473,0.000008261
,38,124,86,210,Rn,-9604.77,4.557,7796.665,0.022,209.9896889,0.000004892
,36,123,87,210,Fr,-3333.205,15.154,7763.075,0.072,209.9964217,0.000016268
,34,122,88,210,Ra,442.792,9.193,7741.368,0.044,210.0004754,0.000009868
,32,121,89,210,Ac,8789.699,57.402,7697.896,0.273,210.0094361,0.000061623
,30,120,90,210,Th,14059.446,18.909,7669.076,0.09,210.0150934,0.000020299
0,51,131,80,211,Hg,-624#,196#,7778#,1#,#VALUE!,#VALUE!
,49,130,81,211,Tl,-6077.998,41.917,7799.791,0.199,210.993475,0.000045
,47,129,82,211,Pb,-10492.948,2.261,7817.007,0.011,210.9887354,0.000002426
,45,128,83,211,Bi,-11859.131,5.442,7819.774,0.026,210.9872687,0.000005842
,43,127,84,211,Po,-12432.571,1.255,7818.784,0.006,210.9866531,0.000001347
,41,126,85,211,At,-11647.264,2.729,7811.354,0.013,210.9874961,0.000002929
,39,125,86,211,Rn,-8755.404,6.813,7793.941,0.032,210.9906007,0.000007314
,37,124,87,211,Fr,-4140.249,11.991,7768.36,0.057,210.9955553,0.000012872
,35,123,88,211,Ra,832.023,7.918,7741.087,0.038,211.0008932,0.0000085
,33,122,89,211,Ac,7202.214,52.976,7707.189,0.251,211.0077319,0.000056871
,31,121,90,211,Th,13910.171,73.01,7671.69,0.346,211.0149332,0.000078379
,29,120,91,211,Pa,22080#,102#,7629#,0#,#VALUE!,#VALUE!
0,52,132,80,212,Hg,2757#,298#,7763#,1#,#VALUE!,#VALUE!
,50,131,81,212,Tl,-1551#,200#,7780#,1#,#VALUE!,#VALUE!
,48,130,82,212,Pb,-7548.85,1.842,7804.319,0.009,211.991896,0.000001977
,46,129,83,212,Bi,-8117.954,1.854,7803.313,0.009,211.991285,0.000001989
,44,128,84,212,Po,-10369.487,1.152,7810.243,0.005,211.9888679,0.000001236
,42,127,85,212,At,-8628.221,2.384,7798.34,0.011,211.9907372,0.000002559
,40,126,86,212,Rn,-8659.608,3.145,7794.797,0.015,211.9907035,0.000003376
,38,125,87,212,Fr,-3515.968,8.775,7766.845,0.041,211.9962255,0.00000942
,36,124,88,212,Ra,-198.968,11.263,7747.508,0.053,211.9997864,0.000012091
,34,123,89,212,Ac,7277.298,51.381,7708.552,0.242,212.0078125,0.00005516
,32,122,90,212,Th,12110.808,10.109,7682.062,0.048,212.0130015,0.000010852
,30,121,91,212,Pa,21593.358,74.862,7633.643,0.353,212.0231814,0.000080367
0,53,133,80,213,Hg,7666#,298#,7741#,1#,#VALUE!,#VALUE!
,51,132,81,213,Tl,1783.811,27.013,7765.43,0.127,213.001915,0.000029
,49,131,82,213,Pb,-3203.532,6.954,7785.172,0.033,212.9965609,0.000007465
,47,130,83,213,Bi,-5231.635,5.082,7791.021,0.024,212.9943836,0.000005456
,45,129,84,213,Po,-6653.584,3.053,7794.024,0.014,212.9928571,0.000003277
,43,128,85,213,At,-6579.595,4.898,7790.003,0.023,212.9929365,0.000005257
,41,127,86,213,Rn,-5696.026,3.37,7782.182,0.016,212.9938851,0.000003617
,39,126,87,213,Fr,-3552.848,5.091,7768.447,0.024,212.9961859,0.000005465
,37,125,88,213,Ra,345.557,9.818,7746.472,0.046,213.000371,0.00001054
,35,124,89,213,Ac,6154.692,15.272,7715.526,0.072,213.0066073,0.000016395
,33,123,90,213,Th,12120.086,9.217,7683.846,0.043,213.0130114,0.000009895
,31,122,91,213,Pa,19662.625,71.142,7644.762,0.334,213.0211087,0.000076374
0,54,134,80,214,Hg,11178#,401#,7727#,2#,#VALUE!,#VALUE!
,52,133,81,214,Tl,6465#,196#,7745#,1#,#VALUE!,#VALUE!
,50,132,82,214,Pb,-182.769,1.975,7772.394,0.009,213.9998038,0.00000212
,48,131,83,214,Bi,-1200.753,11.209,7773.495,0.052,213.9987109,0.000012033
,46,130,84,214,Po,-4470.046,1.449,7785.116,0.007,213.9952012,0.000001555
,44,129,85,214,At,-3379.831,4.298,7776.366,0.02,213.9963716,0.000004614
,42,128,86,214,Rn,-4319.742,9.187,7777.102,0.043,213.9953626,0.000009862
,40,127,87,214,Fr,-958.707,8.634,7757.74,0.04,213.9989708,0.000009268
,38,126,88,214,Ra,92.734,5.25,7749.171,0.025,214.0000996,0.000005636
,36,125,89,214,Ac,6443.854,15.36,7715.837,0.072,214.0069178,0.000016489
,34,124,90,214,Th,10694.885,10.661,7692.317,0.05,214.0114814,0.000011445
,32,123,91,214,Pa,19485.515,76.125,7647.583,0.356,214.0209186,0.000081723
0,55,135,80,215,Hg,16208#,401#,7705#,2#,#VALUE!,#VALUE!
,53,134,81,215,Tl,9911#,298#,7730#,1#,#VALUE!,#VALUE!
,51,133,82,215,Pb,4342.244,52.448,7752.737,0.244,215.0046616,0.000056304
,49,132,83,215,Bi,1629.322,5.624,7761.717,0.026,215.0017491,0.000006037
,47,131,84,215,Po,-541.706,2.121,7768.176,0.01,214.9994185,0.000002276
